localidade;nome_localidade;idade_calculada;renda_ind
5242;Alexânia;81;1412
5323;Varjão;73;1320
5242;Alexânia;73;2824
5242;Alexânia;67;1412
5243;Cidade Ocidental;78;1320
5243;Cidade Ocidental;42;1320
5332;Sol Nascente / Pôr do Sol;90;1500
5243;Cidade Ocidental;63;650
5312;Samambaia;59;600
5245;Cocalzinho de Goiás;31;1520
5336;Área Rural;38;900
5336;Área Rural;15;200
5314;São Sebastião;18;240
5325;SCIA;11;400
5318;Lago Norte;48;34500
5325;SCIA;47;300
5303;Taguatinga;74;1350
5302;Gama;60;3000
5251;Santo Antônio do Descoberto;71;1412
5306;Planaltina;73;1320
5306;Planaltina;68;1320
5309;Ceilândia;37;2650
5320;Águas Claras;67;11000
5325;SCIA;73;1320
5330;Vicente Pires;32;800
5247;Luziânia;60;1420
5247;Luziânia;89;1420
5326;Sobradinho II;71;1320
5317;Riacho Fundo;62;325
5317;Riacho Fundo;54;250
5317;Riacho Fundo;84;1400
5312;Samambaia;73;1412
5307;Paranoá;72;1302
5325;SCIA;33;800
5243;Cidade Ocidental;64;1400
5303;Taguatinga;90;1320
5249;Padre Bernardo;52;1320
5242;Alexânia;82;2424
5244;Cristalina;59;1500
5301;Plano Piloto;22;4000
5304;Brazlândia;66;1662
5252;Valparaíso de Goiás;21;1320
5324;Park Way;80;11000
5324;Park Way;85;2500
5324;Park Way;12;1200
5246;Formosa;13;1412
5250;Planaltina de Goiás;56;1400
5251;Santo Antônio do Descoberto;80;2824
5245;Cocalzinho de Goiás;63;1420
5319;Candangolândia;49;3400
5310;Guará;88;2200
5310;Guará;63;2200
5310;Guará;60;2200
5325;SCIA;46;700
5246;Formosa;73;1412
5318;Lago Norte;63;1412
5246;Formosa;65;1800
5244;Cristalina;11;300
5312;Samambaia;48;2640
5334;Arapoanga;64;2500
5303;Taguatinga;65;1412
5303;Taguatinga;70;1412
5302;Gama;57;1320
5335;Água Quente;37;950
5326;Sobradinho II;52;1320
5243;Cidade Ocidental;25;600
5319;Candangolândia;57;300
5317;Riacho Fundo;71;1400
5301;Plano Piloto;69;18000
5301;Plano Piloto;69;14000
5325;SCIA;19;900
5301;Plano Piloto;68;7000
5301;Plano Piloto;71;1400
5325;SCIA;49;1450
5243;Cidade Ocidental;70;2112
5243;Cidade Ocidental;72;1412
5326;Sobradinho II;23;600
5246;Formosa;18;112
5309;Ceilândia;71;1400
5309;Ceilândia;74;2500
5305;Sobradinho;73;1420
5335;Água Quente;28;790
5248;Novo Gama;21;1320
5335;Água Quente;65;1600
5332;Sol Nascente / Pôr do Sol;43;2450
5321;Riacho Fundo II;17;900
5332;Sol Nascente / Pôr do Sol;72;1412
5332;Sol Nascente / Pôr do Sol;69;1412
5251;Santo Antônio do Descoberto;54;600
5243;Cidade Ocidental;63;600
5248;Novo Gama;22;1600
5248;Novo Gama;48;1378
5324;Park Way;83;24000
5301;Plano Piloto;69;20319
5305;Sobradinho;60;3000
5304;Brazlândia;51;1412
5242;Alexânia;72;4112
5314;São Sebastião;49;800
5323;Varjão;76;1320
5249;Padre Bernardo;42;1000
5314;São Sebastião;40;700
5314;São Sebastião;10;600
5242;Alexânia;43;400
5312;Samambaia;70;2800
5336;Área Rural;72;2824
5325;SCIA;45;600
5243;Cidade Ocidental;81;1302
5243;Cidade Ocidental;86;1302
5325;SCIA;39;2800
5311;Cruzeiro;45;1500
5316;Lago Sul;43;50000
5244;Cristalina;72;1412
5244;Cristalina;50;1412
5244;Cristalina;18;1412
5317;Riacho Fundo;73;5400
5317;Riacho Fundo;69;2000
5331;Fercal;41;850
5325;SCIA;40;750
5302;Gama;45;5000
5304;Brazlândia;37;3900
5241;Águas Lindas de Goiás;67;1412
5242;Alexânia;26;4400
5242;Alexânia;60;2824
5247;Luziânia;90;1412
5247;Luziânia;70;1320
5316;Lago Sul;76;4200
5316;Lago Sul;74;15000
5317;Riacho Fundo;60;600
5319;Candangolândia;45;9000
5251;Santo Antônio do Descoberto;74;1302
5243;Cidade Ocidental;49;2100
5304;Brazlândia;70;1400
5325;SCIA;63;1400
5325;SCIA;78;1400
5325;SCIA;10;250
5325;SCIA;12;100
5243;Cidade Ocidental;46;1320
5336;Área Rural;64;1412
5317;Riacho Fundo;39;20000
5249;Padre Bernardo;24;1200
5247;Luziânia;69;1320
5305;Sobradinho;82;3400
5302;Gama;89;1320
5316;Lago Sul;40;4000
5325;SCIA;26;3300
5244;Cristalina;40;1800
5244;Cristalina;17;100
5305;Sobradinho;77;14000
5305;Sobradinho;72;7000
5312;Samambaia;25;1000
5318;Lago Norte;67;20000
5318;Lago Norte;64;20000
5330;Vicente Pires;22;1412
5242;Alexânia;50;700
5303;Taguatinga;75;1400
5331;Fercal;42;700
5243;Cidade Ocidental;77;1320
5243;Cidade Ocidental;77;1320
5314;São Sebastião;25;700
5304;Brazlândia;71;1907
5312;Samambaia;40;1200
5248;Novo Gama;19;500
5248;Novo Gama;16;500
5318;Lago Norte;49;18500
5242;Alexânia;59;1412
5249;Padre Bernardo;78;3000
5336;Área Rural;63;1600
5336;Área Rural;27;600
5310;Guará;77;3320
5244;Cristalina;72;1412
5317;Riacho Fundo;62;6000
5325;SCIA;49;1000
5328;Itapoã;62;700
5314;São Sebastião;39;1
5314;São Sebastião;30;1
5325;SCIA;33;700
5314;São Sebastião;58;50
5314;São Sebastião;66;600
5335;Água Quente;25;3100
5243;Cidade Ocidental;54;600
5312;Samambaia;66;1400
5303;Taguatinga;74;1320
5332;Sol Nascente / Pôr do Sol;25;2700
5318;Lago Norte;57;7000
5332;Sol Nascente / Pôr do Sol;40;1300
5332;Sol Nascente / Pôr do Sol;17;700
5245;Cocalzinho de Goiás;60;1462
5306;Planaltina;75;7000
5319;Candangolândia;74;1320
5336;Área Rural;66;1420
5336;Área Rural;23;250
5328;Itapoã;38;790
5301;Plano Piloto;77;44500
5335;Água Quente;57;1320
5308;Núcleo Bandeirante;71;4000
5308;Núcleo Bandeirante;81;1400
5334;Arapoanga;22;1420
5314;São Sebastião;31;1
5314;São Sebastião;11;1
5249;Padre Bernardo;34;700
5249;Padre Bernardo;30;1000
5333;Arniqueira;30;500
5309;Ceilândia;51;300
5324;Park Way;61;20000
5241;Águas Lindas de Goiás;56;600
5335;Água Quente;62;1350
5335;Água Quente;80;1350
5325;SCIA;56;600
5317;Riacho Fundo;43;650
5251;Santo Antônio do Descoberto;40;650
5312;Samambaia;52;1720
5312;Samambaia;21;800
5330;Vicente Pires;54;11000
5244;Cristalina;68;1420
5309;Ceilândia;65;1400
5314;São Sebastião;73;1412
5304;Brazlândia;66;1412
5304;Brazlândia;76;1412
5250;Planaltina de Goiás;40;1412
5245;Cocalzinho de Goiás;58;1000
5316;Lago Sul;75;21000
5319;Candangolândia;53;12000
5330;Vicente Pires;38;300
5320;Águas Claras;64;8000
5320;Águas Claras;90;3000
5317;Riacho Fundo;43;250
5317;Riacho Fundo;24;4400
5319;Candangolândia;68;2500
5319;Candangolândia;19;1100
5245;Cocalzinho de Goiás;62;600
5244;Cristalina;27;1000
5305;Sobradinho;55;12000
5322;Sudoeste e Octogonal;45;9000
5322;Sudoeste e Octogonal;39;11000
5247;Luziânia;65;1000
5309;Ceilândia;55;1050
5305;Sobradinho;38;600
5325;SCIA;20;600
5243;Cidade Ocidental;30;3000
5247;Luziânia;17;1000
5332;Sol Nascente / Pôr do Sol;55;1560
5301;Plano Piloto;75;23000
5247;Luziânia;21;2600
5247;Luziânia;23;2000
5301;Plano Piloto;74;9000
5301;Plano Piloto;71;5000
5246;Formosa;62;1422
5246;Formosa;10;750
5247;Luziânia;69;2500
5247;Luziânia;54;600
5243;Cidade Ocidental;68;1320
5243;Cidade Ocidental;72;1320
5251;Santo Antônio do Descoberto;29;490
5247;Luziânia;55;9000
5326;Sobradinho II;66;1320
5301;Plano Piloto;70;2500
5336;Área Rural;58;2000
5336;Área Rural;62;1412
5315;Recanto Das Emas;31;750
5325;SCIA;57;600
5249;Padre Bernardo;67;2640
5305;Sobradinho;82;1302
5312;Samambaia;86;1320
5314;São Sebastião;32;1000
5314;São Sebastião;17;200
5314;São Sebastião;17;200
5247;Luziânia;35;840
5330;Vicente Pires;57;7000
5241;Águas Lindas de Goiás;57;1412
5307;Paranoá;77;1302
5307;Paranoá;84;1302
5308;Núcleo Bandeirante;71;5000
5335;Água Quente;69;1500
5307;Paranoá;81;1420
5250;Planaltina de Goiás;21;2000
5330;Vicente Pires;66;3412
5312;Samambaia;65;1662
5312;Samambaia;69;1412
5314;São Sebastião;36;1920
5301;Plano Piloto;67;2450
5301;Plano Piloto;61;28000
5312;Samambaia;43;8000
5244;Cristalina;87;1412
5334;Arapoanga;71;1900
5335;Água Quente;84;1350
5243;Cidade Ocidental;30;4340
5243;Cidade Ocidental;34;4627
5331;Fercal;30;1650
5331;Fercal;10;300
5247;Luziânia;78;1920
5247;Luziânia;72;1320
5247;Luziânia;71;1320
5313;Santa Maria;70;1300
5244;Cristalina;16;112
5247;Luziânia;83;5000
5249;Padre Bernardo;74;1320
5249;Padre Bernardo;70;1320
5334;Arapoanga;82;1320
5336;Área Rural;39;600
5245;Cocalzinho de Goiás;58;1412
5317;Riacho Fundo;64;250
5334;Arapoanga;57;1420
5336;Área Rural;69;1600
5309;Ceilândia;43;2500
5243;Cidade Ocidental;63;1320
5249;Padre Bernardo;16;112
5316;Lago Sul;19;6000
5316;Lago Sul;53;6000
5243;Cidade Ocidental;53;1320
5309;Ceilândia;25;1000
5301;Plano Piloto;44;10000
5309;Ceilândia;55;1320
5302;Gama;75;2100
5302;Gama;71;1320
5247;Luziânia;38;1800
5249;Padre Bernardo;67;4800
5317;Riacho Fundo;65;5300
5248;Novo Gama;44;600
5314;São Sebastião;82;1322
5318;Lago Norte;62;21500
5331;Fercal;45;800
5331;Fercal;20;250
5331;Fercal;12;250
5316;Lago Sul;73;12000
5316;Lago Sul;71;2700
5328;Itapoã;35;14480
5315;Recanto Das Emas;64;2600
5314;São Sebastião;31;60
5314;São Sebastião;11;300
5305;Sobradinho;64;3500
5305;Sobradinho;87;1400
5326;Sobradinho II;34;600
5301;Plano Piloto;77;12000
5247;Luziânia;55;600
5330;Vicente Pires;73;2824
5330;Vicente Pires;68;1412
5334;Arapoanga;75;1320
5334;Arapoanga;88;1320
5317;Riacho Fundo;75;1412
5250;Planaltina de Goiás;69;1400
5312;Samambaia;70;1412
5312;Samambaia;89;1412
5301;Plano Piloto;74;15000
5303;Taguatinga;80;1412
5327;Jardim Botânico;67;22000
5309;Ceilândia;35;26000
5314;São Sebastião;51;650
5315;Recanto Das Emas;71;1320
5246;Formosa;17;112
5332;Sol Nascente / Pôr do Sol;45;2000
5306;Planaltina;81;1320
5250;Planaltina de Goiás;69;1320
5241;Águas Lindas de Goiás;26;800
5310;Guará;86;2640
5244;Cristalina;66;1412
5249;Padre Bernardo;28;950
5316;Lago Sul;69;21000
5316;Lago Sul;64;30000
5334;Arapoanga;39;700
5317;Riacho Fundo;36;1400
5334;Arapoanga;34;1700
5330;Vicente Pires;77;1000
5330;Vicente Pires;78;1000
5242;Alexânia;59;3200
5325;SCIA;33;480
5242;Alexânia;78;2824
5317;Riacho Fundo;67;1412
5317;Riacho Fundo;67;1412
5250;Planaltina de Goiás;74;1200
5250;Planaltina de Goiás;42;1290
5321;Riacho Fundo II;45;650
5243;Cidade Ocidental;45;650
5301;Plano Piloto;73;1400
5309;Ceilândia;68;2600
5309;Ceilândia;68;2600
5316;Lago Sul;68;9200
5309;Ceilândia;76;1320
5330;Vicente Pires;59;3500
5249;Padre Bernardo;16;102
5309;Ceilândia;69;1320
5249;Padre Bernardo;75;1320
5245;Cocalzinho de Goiás;47;600
5307;Paranoá;40;600
5321;Riacho Fundo II;53;3000
5304;Brazlândia;14;200
5331;Fercal;26;1060
5325;SCIA;29;950
5244;Cristalina;23;600
5302;Gama;88;2700
5243;Cidade Ocidental;56;5100
5302;Gama;84;11200
5312;Samambaia;35;600
5243;Cidade Ocidental;58;1000
5306;Planaltina;60;1320
5306;Planaltina;73;1320
5247;Luziânia;53;1412
5247;Luziânia;76;1412
5243;Cidade Ocidental;23;600
5245;Cocalzinho de Goiás;85;1412
5305;Sobradinho;47;3000
5243;Cidade Ocidental;44;750
5314;São Sebastião;71;2
5314;São Sebastião;66;1
5314;São Sebastião;43;1
5314;São Sebastião;39;1
5314;São Sebastião;38;1
5315;Recanto Das Emas;60;1320
5247;Luziânia;76;2824
5332;Sol Nascente / Pôr do Sol;67;1412
5328;Itapoã;21;950
5330;Vicente Pires;29;800
5317;Riacho Fundo;88;1412
5317;Riacho Fundo;63;2000
5317;Riacho Fundo;59;2000
5336;Área Rural;29;850
5243;Cidade Ocidental;45;1320
5301;Plano Piloto;74;22000
5308;Núcleo Bandeirante;34;2500
5242;Alexânia;94;1420
5314;São Sebastião;22;500
5336;Área Rural;67;8500
5336;Área Rural;63;10800
5248;Novo Gama;72;1320
5241;Águas Lindas de Goiás;75;1350
5241;Águas Lindas de Goiás;67;1350
5332;Sol Nascente / Pôr do Sol;16;300
5332;Sol Nascente / Pôr do Sol;70;1412
5309;Ceilândia;80;2000
5335;Água Quente;32;700
5313;Santa Maria;90;2640
5301;Plano Piloto;75;6000
5312;Samambaia;60;1320
5242;Alexânia;15;110
5245;Cocalzinho de Goiás;46;600
5243;Cidade Ocidental;50;5300
5312;Samambaia;49;1320
5336;Área Rural;58;5300
5245;Cocalzinho de Goiás;55;1412
5245;Cocalzinho de Goiás;84;1412
5247;Luziânia;52;1762
5243;Cidade Ocidental;72;3000
5310;Guará;65;14000
5244;Cristalina;37;1412
5324;Park Way;62;1400
5325;SCIA;57;700
5321;Riacho Fundo II;45;850
5307;Paranoá;88;1302
5249;Padre Bernardo;18;1100
5306;Planaltina;83;1320
5330;Vicente Pires;76;3000
5244;Cristalina;13;200
5247;Luziânia;86;1320
5324;Park Way;68;2800
5325;SCIA;67;2824
5325;SCIA;53;2300
5310;Guará;25;400
5248;Novo Gama;15;111
5305;Sobradinho;53;10000
5312;Samambaia;70;2890
5325;SCIA;27;650
5328;Itapoã;68;1302
5332;Sol Nascente / Pôr do Sol;52;11000
5243;Cidade Ocidental;42;1320
5245;Cocalzinho de Goiás;69;1412
5245;Cocalzinho de Goiás;66;1412
5245;Cocalzinho de Goiás;37;900
5308;Núcleo Bandeirante;82;1300
5250;Planaltina de Goiás;15;110
5335;Água Quente;38;850
5334;Arapoanga;60;1412
5307;Paranoá;56;8000
5325;SCIA;72;1570
5325;SCIA;78;1320
5249;Padre Bernardo;48;600
5249;Padre Bernardo;78;3090
5249;Padre Bernardo;76;1320
5320;Águas Claras;24;8000
5249;Padre Bernardo;54;1700
5243;Cidade Ocidental;21;600
5323;Varjão;43;750
5334;Arapoanga;51;900
5251;Santo Antônio do Descoberto;51;650
5324;Park Way;56;32000
5315;Recanto Das Emas;39;1412
5314;São Sebastião;48;600
5301;Plano Piloto;85;38000
5249;Padre Bernardo;78;1412
5244;Cristalina;45;600
5316;Lago Sul;83;12000
5242;Alexânia;51;600
5303;Taguatinga;76;1500
5249;Padre Bernardo;85;2640
5304;Brazlândia;53;2012
5325;SCIA;54;600
5333;Arniqueira;41;33000
5333;Arniqueira;45;4000
5330;Vicente Pires;18;200
5318;Lago Norte;68;5000
5301;Plano Piloto;70;11400
5306;Planaltina;49;1320
5333;Arniqueira;76;1340
5325;SCIA;41;2824
5325;SCIA;21;700
5248;Novo Gama;18;1320
5308;Núcleo Bandeirante;90;2800
5252;Valparaíso de Goiás;83;1300
5251;Santo Antônio do Descoberto;49;600
5252;Valparaíso de Goiás;72;2500
5308;Núcleo Bandeirante;67;1320
5244;Cristalina;36;750
5243;Cidade Ocidental;57;6000
5321;Riacho Fundo II;33;1320
5313;Santa Maria;72;1800
5324;Park Way;82;3000
5324;Park Way;72;5000
5249;Padre Bernardo;29;900
5244;Cristalina;62;600
5246;Formosa;48;1555
5244;Cristalina;72;2824
5245;Cocalzinho de Goiás;61;1412
5331;Fercal;66;1400
5336;Área Rural;78;2000
5326;Sobradinho II;85;1320
5317;Riacho Fundo;26;2650
5325;SCIA;28;1000
5312;Samambaia;42;3850
5312;Samambaia;17;1500
5249;Padre Bernardo;40;1320
5311;Cruzeiro;77;7000
5319;Candangolândia;70;1450
5246;Formosa;36;1745
5246;Formosa;18;200
5327;Jardim Botânico;21;2400
5327;Jardim Botânico;21;2400
5242;Alexânia;89;2090
5301;Plano Piloto;74;29000
5241;Águas Lindas de Goiás;87;1412
5241;Águas Lindas de Goiás;48;2824
5312;Samambaia;42;1420
5314;São Sebastião;38;1
5314;São Sebastião;43;2
5314;São Sebastião;43;1
5314;São Sebastião;21;1
5247;Luziânia;72;1320
5248;Novo Gama;30;1320
5323;Varjão;52;2100
5306;Planaltina;49;1600
5248;Novo Gama;53;650
5311;Cruzeiro;30;1412
5330;Vicente Pires;52;550
5314;São Sebastião;24;3408
5334;Arapoanga;43;650
5310;Guará;55;8000
5307;Paranoá;39;600
5302;Gama;66;1320
5326;Sobradinho II;43;550
5308;Núcleo Bandeirante;62;10000
5328;Itapoã;43;4800
5245;Cocalzinho de Goiás;64;300
5245;Cocalzinho de Goiás;17;100
5335;Água Quente;56;700
5301;Plano Piloto;63;11000
5301;Plano Piloto;65;6000
5247;Luziânia;67;1320
5335;Água Quente;44;1400
5241;Águas Lindas de Goiás;52;4640
5308;Núcleo Bandeirante;82;5000
5307;Paranoá;74;1400
5307;Paranoá;84;2600
5307;Paranoá;84;1300
5307;Paranoá;40;1030
5320;Águas Claras;60;800
5335;Água Quente;15;1400
5308;Núcleo Bandeirante;38;1920
5326;Sobradinho II;61;1412
5305;Sobradinho;51;5000
5249;Padre Bernardo;53;750
5249;Padre Bernardo;15;320
5303;Taguatinga;87;2700
5323;Varjão;52;2200
5307;Paranoá;48;1301
5330;Vicente Pires;65;20000
5304;Brazlândia;54;300
5303;Taguatinga;73;2000
5309;Ceilândia;71;3680
5328;Itapoã;68;1412
5327;Jardim Botânico;64;8000
5319;Candangolândia;55;1320
5245;Cocalzinho de Goiás;75;1412
5245;Cocalzinho de Goiás;24;650
5246;Formosa;16;100
5325;SCIA;85;2824
5321;Riacho Fundo II;74;1320
5247;Luziânia;64;1320
5317;Riacho Fundo;56;600
5242;Alexânia;30;750
5333;Arniqueira;61;12000
5249;Padre Bernardo;66;2000
5314;São Sebastião;68;1412
5318;Lago Norte;74;29000
5301;Plano Piloto;79;22000
5301;Plano Piloto;85;1412
5241;Águas Lindas de Goiás;42;320
5241;Águas Lindas de Goiás;39;320
5316;Lago Sul;75;26000
5314;São Sebastião;51;1
5314;São Sebastião;61;1
5314;São Sebastião;16;1
5325;SCIA;74;1320
5311;Cruzeiro;73;9000
5315;Recanto Das Emas;44;658
5315;Recanto Das Emas;66;1320
5314;São Sebastião;48;1412
5313;Santa Maria;63;1300
5328;Itapoã;38;600
5242;Alexânia;72;1412
5330;Vicente Pires;37;600
5245;Cocalzinho de Goiás;40;750
5325;SCIA;55;1400
5307;Paranoá;25;2550
5247;Luziânia;64;600
5247;Luziânia;86;5000
5241;Águas Lindas de Goiás;44;650
5323;Varjão;33;900
5242;Alexânia;57;600
5242;Alexânia;89;8400
5301;Plano Piloto;75;17000
5301;Plano Piloto;23;5000
5329;SIA;76;1600
5329;SIA;72;1412
5321;Riacho Fundo II;75;1000
5321;Riacho Fundo II;74;1320
5323;Varjão;22;500
5312;Samambaia;31;1650
5307;Paranoá;22;375
5303;Taguatinga;76;1320
5314;São Sebastião;61;13200
5303;Taguatinga;28;1350
5331;Fercal;68;1400
5244;Cristalina;36;700
5328;Itapoã;74;1302
5328;Itapoã;74;1400
5330;Vicente Pires;50;4800
5242;Alexânia;49;400
5304;Brazlândia;31;3412
5249;Padre Bernardo;63;2500
5309;Ceilândia;71;1890
5332;Sol Nascente / Pôr do Sol;63;600
5243;Cidade Ocidental;58;650
5327;Jardim Botânico;63;4850
5327;Jardim Botânico;23;850
5243;Cidade Ocidental;78;1320
5246;Formosa;58;80000
5246;Formosa;71;1422
5301;Plano Piloto;27;8400
5312;Samambaia;70;1400
5330;Vicente Pires;60;2824
5330;Vicente Pires;66;1412
5246;Formosa;11;1412
5242;Alexânia;77;1412
5242;Alexânia;42;1412
5249;Padre Bernardo;79;1412
5326;Sobradinho II;74;1500
5243;Cidade Ocidental;56;600
5303;Taguatinga;62;2824
5312;Samambaia;69;2640
5312;Samambaia;93;2640
5315;Recanto Das Emas;34;1412
5309;Ceilândia;63;1480
5249;Padre Bernardo;32;2100
5320;Águas Claras;52;15000
5314;São Sebastião;26;7000
5246;Formosa;65;2824
5333;Arniqueira;65;15000
5307;Paranoá;24;750
5251;Santo Antônio do Descoberto;30;1000
5244;Cristalina;86;1412
5244;Cristalina;69;960
5243;Cidade Ocidental;66;1320
5243;Cidade Ocidental;71;1320
5327;Jardim Botânico;65;1800
5242;Alexânia;52;1400
5302;Gama;48;1500
5302;Gama;47;7400
5249;Padre Bernardo;42;1010
5247;Luziânia;90;1320
5325;SCIA;52;600
5301;Plano Piloto;71;8000
5325;SCIA;46;850
5306;Planaltina;53;6000
5249;Padre Bernardo;73;5600
5310;Guará;67;3200
5325;SCIA;27;650
5336;Área Rural;30;900
5242;Alexânia;40;800
5317;Riacho Fundo;70;1320
5336;Área Rural;62;1412
5336;Área Rural;52;600
5334;Arapoanga;20;500
5320;Águas Claras;55;1420
5249;Padre Bernardo;68;1412
5250;Planaltina de Goiás;56;2800
5325;SCIA;56;1320
5314;São Sebastião;54;8000
5303;Taguatinga;65;3200
5303;Taguatinga;67;3200
5328;Itapoã;51;900
5301;Plano Piloto;87;30000
5320;Águas Claras;18;3412
5313;Santa Maria;56;750
5313;Santa Maria;48;1320
5241;Águas Lindas de Goiás;18;100
5301;Plano Piloto;21;5000
5250;Planaltina de Goiás;40;650
5251;Santo Antônio do Descoberto;66;2500
5326;Sobradinho II;57;600
5309;Ceilândia;24;1050
5309;Ceilândia;71;6000
5247;Luziânia;42;600
5314;São Sebastião;29;1600
5251;Santo Antônio do Descoberto;69;1412
5242;Alexânia;64;3000
5336;Área Rural;62;2000
5306;Planaltina;85;1320
5316;Lago Sul;75;20000
5316;Lago Sul;69;17000
5319;Candangolândia;24;600
5311;Cruzeiro;75;5500
5328;Itapoã;48;1950
5241;Águas Lindas de Goiás;40;45
5333;Arniqueira;38;1412
5335;Água Quente;23;1412
5245;Cocalzinho de Goiás;57;1412
5305;Sobradinho;58;6000
5247;Luziânia;70;1320
5302;Gama;31;800
5315;Recanto Das Emas;49;600
5334;Arapoanga;88;1320
5334;Arapoanga;90;1320
5249;Padre Bernardo;38;700
5333;Arniqueira;68;2800
5304;Brazlândia;68;13000
5315;Recanto Das Emas;48;700
5243;Cidade Ocidental;39;200
5250;Planaltina de Goiás;49;1400
5250;Planaltina de Goiás;23;1400
5309;Ceilândia;41;1670
5314;São Sebastião;56;2058
5314;São Sebastião;54;600
5334;Arapoanga;65;2000
5320;Águas Claras;81;2800
5245;Cocalzinho de Goiás;51;650
5245;Cocalzinho de Goiás;16;100
5307;Paranoá;43;600
5325;SCIA;52;600
5312;Samambaia;53;2300
5311;Cruzeiro;80;12500
5317;Riacho Fundo;72;1600
5311;Cruzeiro;60;6000
5309;Ceilândia;73;2600
5309;Ceilândia;81;1320
5310;Guará;81;8000
5310;Guará;65;12000
5310;Guará;41;2000
5248;Novo Gama;41;1320
5244;Cristalina;59;1000
5303;Taguatinga;58;1302
5249;Padre Bernardo;30;750
5251;Santo Antônio do Descoberto;76;1412
5245;Cocalzinho de Goiás;62;1412
5310;Guará;53;8000
5325;SCIA;59;750
5317;Riacho Fundo;41;6000
5311;Cruzeiro;66;4000
5315;Recanto Das Emas;53;2000
5315;Recanto Das Emas;19;2000
5242;Alexânia;60;700
5331;Fercal;67;1502
5250;Planaltina de Goiás;66;1412
5250;Planaltina de Goiás;68;1412
5324;Park Way;69;7980
5251;Santo Antônio do Descoberto;33;650
5252;Valparaíso de Goiás;60;1320
5247;Luziânia;80;4000
5335;Água Quente;56;250
5328;Itapoã;48;700
5328;Itapoã;46;700
5242;Alexânia;51;1412
5316;Lago Sul;56;90000
5313;Santa Maria;51;1302
5314;São Sebastião;82;2824
5301;Plano Piloto;76;20000
5301;Plano Piloto;71;17000
5317;Riacho Fundo;70;2800
5313;Santa Maria;88;2640
5315;Recanto Das Emas;59;1320
5241;Águas Lindas de Goiás;89;1412
5250;Planaltina de Goiás;73;1400
5250;Planaltina de Goiás;52;900
5331;Fercal;59;2824
5319;Candangolândia;78;3500
5332;Sol Nascente / Pôr do Sol;55;1412
5245;Cocalzinho de Goiás;76;1412
5249;Padre Bernardo;57;4600
5304;Brazlândia;55;6500
5325;SCIA;47;600
5330;Vicente Pires;43;3100
5330;Vicente Pires;63;1500
5313;Santa Maria;62;1320
5249;Padre Bernardo;73;1320
5249;Padre Bernardo;69;1320
5242;Alexânia;56;2000
5325;SCIA;17;1200
5244;Cristalina;64;2800
5244;Cristalina;78;1400
5313;Santa Maria;63;2060
5319;Candangolândia;58;8500
5319;Candangolândia;69;8500
5246;Formosa;45;600
5246;Formosa;15;111
5302;Gama;86;1320
5302;Gama;61;1320
5248;Novo Gama;16;111
5245;Cocalzinho de Goiás;67;900
5331;Fercal;43;1420
5243;Cidade Ocidental;48;1302
5247;Luziânia;62;4000
5250;Planaltina de Goiás;70;1900
5248;Novo Gama;60;3500
5250;Planaltina de Goiás;59;5000
5250;Planaltina de Goiás;67;1400
5327;Jardim Botânico;46;3500
5315;Recanto Das Emas;70;1412
5301;Plano Piloto;41;14000
5301;Plano Piloto;37;17500
5302;Gama;55;850
5330;Vicente Pires;74;5252
5242;Alexânia;74;1412
5326;Sobradinho II;67;1320
5249;Padre Bernardo;80;1412
5313;Santa Maria;63;5000
5244;Cristalina;83;1412
5249;Padre Bernardo;58;11600
5324;Park Way;52;8000
5307;Paranoá;34;900
5242;Alexânia;33;850
5332;Sol Nascente / Pôr do Sol;64;1412
5246;Formosa;65;1912
5246;Formosa;76;1412
5242;Alexânia;44;2824
5242;Alexânia;67;1412
5244;Cristalina;25;800
5330;Vicente Pires;52;4600
5304;Brazlândia;13;1412
5245;Cocalzinho de Goiás;65;2012
5248;Novo Gama;22;200
5325;SCIA;54;2012
5301;Plano Piloto;90;22000
5301;Plano Piloto;92;7200
5319;Candangolândia;33;600
5310;Guará;57;3600
5252;Valparaíso de Goiás;47;1300
5252;Valparaíso de Goiás;14;1300
5301;Plano Piloto;64;10000
5334;Arapoanga;86;1420
5327;Jardim Botânico;65;12000
5243;Cidade Ocidental;85;1920
5301;Plano Piloto;64;19000
5302;Gama;78;16000
5302;Gama;30;1500
5326;Sobradinho II;42;650
5315;Recanto Das Emas;62;1412
5315;Recanto Das Emas;69;2000
5301;Plano Piloto;61;3000
5312;Samambaia;61;10000
5312;Samambaia;62;10000
5251;Santo Antônio do Descoberto;41;600
5251;Santo Antônio do Descoberto;42;750
5313;Santa Maria;61;600
5313;Santa Maria;42;600
5328;Itapoã;77;1320
5308;Núcleo Bandeirante;37;400
5332;Sol Nascente / Pôr do Sol;44;5200
5332;Sol Nascente / Pôr do Sol;75;2824
5242;Alexânia;79;1412
5242;Alexânia;70;1412
5307;Paranoá;52;2590
5307;Paranoá;50;4029
5302;Gama;46;1320
5302;Gama;17;1320
5307;Paranoá;82;1302
5307;Paranoá;77;1302
5315;Recanto Das Emas;47;600
5252;Valparaíso de Goiás;60;490
5308;Núcleo Bandeirante;73;16240
5318;Lago Norte;64;43000
5318;Lago Norte;69;22000
5334;Arapoanga;68;1412
5334;Arapoanga;72;1412
5331;Fercal;35;2000
5319;Candangolândia;20;1100
5301;Plano Piloto;31;8000
5317;Riacho Fundo;60;850
